cafe_id,kakao_name,review_id,sentence_id,sentence,feature,predicted_sentiment,sentiment
C001,커스텀커피 역북점,C001_R0001,C001_R0001_S02,10시40분에 먹고있는 사람에게 와서 마감이 몇시라고 안내하는게 아니라 곧 마감이라 다 먹었으면 치워도 되겠냐고 하는게 맞나싶네요,영업시간,positive,positive
C001,커스텀커피 역북점,C001_R0001,C001_R0001_S03,빈잔이면 모르겠는데 아직 남아있는 음료를 보고도 마감안내가 아니라 치워도 되냐고 하는카페는 처음봤네요,영업시간,positive,positive
C001,커스텀커피 역북점,C001_R0003,C001_R0003_S03,주차한적은 없지만 주차도 편하겠네요~~,조용함,positive,positive
C004,밀크팜747,C004_R0010,C004_R0010_S02,위에 인절미 떡도 적지 않게 올라가 있어서 인절미와 쑥의 조화를 오래 느낄 수 있고 아이스크림 자체도 맛있어요 처음에 손에 잡았을 때는 컵이 작지도 크지도 않았는데 먹다보니까 양이 꽤 많았어요 이거 진심 매일 먹고 싶다,체류 적합성,positive,positive
C006,달롱도르요거트아이스크림 역북점,C006_R0005,C006_R0005_S01,배달만 시키다가 근처갔다가 포장했어요 가격대비 양도 많고 맛있어요,가격대,positive,positive
C007,브라운리퀴드,C007_R0005,C007_R0005_S01,조용하고 편해서 자주가요,조용함,positive,positive
C007,브라운리퀴드,C007_R0006,C007_R0006_S01,오랜만에 방문했는데 여전히 브라운 리퀴드만의 분위기가 느껴져서 좋았어요☺️ 차분하고 따뜻한 곳이라 있다보면 힐링돼요,조용함,positive,positive
C007,브라운리퀴드,C007_R0006,C007_R0006_S02,ㅎㅎ 조용해서 스몰톡하기 좋고 책 읽기도 좋늘 것 같아요,조용함,positive,positive
C007,브라운리퀴드,C007_R0009,C007_R0009_S05,사장님 오래오래 운영해주세요♡,체류 적합성,neutral,neutral
C008,달다미로,C008_R0002,C008_R0002_S06,가격도 괜찮은데 조금만 산게 후회되요,가격대,positive,positive
C008,달다미로,C008_R0007,C008_R0007_S01,합리적인 가격에 맛이ㅆ는 디저트가 많아요,가격대,positive,neutral
C008,달다미로,C008_R0009,C008_R0009_S01,공룡월드 갔다가 간식으로 가볍게 먹으려고 구매했는데 촉촉하고 달지 않아 아이도 부담없이 잘 먹고 집에서 간식으로 또 먹었는데 맛있었어요😄 근처에 갈 일 있으면 또 갈 것 같아요👍,가격대,positive,positive
C011,더벤티 용인역북점,C011_R0002,C011_R0002_S01,역시 가성비 좋은 더벤티 ~ 가성비 좋은 카페찾는다면 이곳만한곳이없죠 테이블도 적당히 있고 청결상태가 너무좋은것같네요~ 굿굿,좌석,positive,positive
C011,더벤티 용인역북점,C011_R0002,C011_R0002_S01,역시 가성비 좋은 더벤티 ~ 가성비 좋은 카페찾는다면 이곳만한곳이없죠 테이블도 적당히 있고 청결상태가 너무좋은것같네요~ 굿굿,가격대,positive,positive
C011,더벤티 용인역북점,C011_R0003,C011_R0003_S01,역시 가성비 좋은 벤티~ 저렴하게 커피한잔하고싶을때 방문하는곳 공간이 협소한편이지만 잠시 들러서 쉬고가기에는 문제 없네요~,좌석,negative,negative
C011,더벤티 용인역북점,C011_R0003,C011_R0003_S01,역시 가성비 좋은 벤티~ 저렴하게 커피한잔하고싶을때 방문하는곳 공간이 협소한편이지만 잠시 들러서 쉬고가기에는 문제 없네요~,가격대,negative,positive
C011,더벤티 용인역북점,C011_R0004,C011_R0004_S01,"커피 양도 많고, 진하고 향이 훌륭합니다^^👍 아침이라 그런지 조용하고 쾌적해서 기분이 좋았어요",조용함,positive,positive
C011,더벤티 용인역북점,C011_R0007,C011_R0007_S01,가성비 👍굿이예요,가격대,positive,positive
C011,더벤티 용인역북점,C011_R0008,C011_R0008_S01,가성비 👍,가격대,positive,positive
C013,요거트월드 역북점,C013_R0008,C013_R0008_S01,요거트 아이스크림  에  이것저것  추가해 먹는  재미인데  있는거 토핑 다  올리면  가격 후덜덜 하고요,가격대,positive,positive
C015,컴포즈커피 용인명지대점,C015_R0004,C015_R0004_S03,와플때문인지 너무 오래 걸렸어요,체류 적합성,neutral,neutral
C017,공차 용인역북점,C017_R0003,C017_R0003_S07,이 점에서 비롯한 직원과 마감시간 바뀐지 모르고 온 손님의 입장차이도 있는거같아요,영업시간,positive,positive
C017,공차 용인역북점,C017_R0003,C017_R0003_S08,마감시간을 네이버에 바꾸시거나 입구에 공지해주시면  양쪽 모두에게 좋을꺼같아요,영업시간,positive,positive
C017,공차 용인역북점,C017_R0004,C017_R0004_S01,타로쥬얼리시끄니처밀크티 당도70% 개꿀맛~,조용함,negative,negative
C018,러블리파이마카롱,C018_R0004,C018_R0004_S11,오래오래 번창하셨으면 합니다 ㅠ❤️❤️,체류 적합성,neutral,neutral
C018,러블리파이마카롱,C018_R0009,C018_R0009_S03,가격 너무 저렴해요 요즘 물가에 이만한 곳 못봤어요,가격대,positive,positive
C021,딸기가좋아 용인점,C021_R0008,C021_R0008_S03,음식도 괜찮고 전보다 가격도 저렴해졌어요,가격대,positive,positive
C021,딸기가좋아 용인점,C021_R0010,C021_R0010_S03,가격도 나쁘지 않습니다,가격대,neutral,neutral
C023,보드빌,C023_R0003,C023_R0003_S02,좌식 자리만 있는 게 아니라 테이블 자리도 있어서 오래 이용하기에도 편했고 무제한 이용권이 있어서 오래 있을 경우 가성비도 괜찮은 편이에요,좌석,positive,positive
C023,보드빌,C023_R0003,C023_R0003_S02,좌식 자리만 있는 게 아니라 테이블 자리도 있어서 오래 이용하기에도 편했고 무제한 이용권이 있어서 오래 있을 경우 가성비도 괜찮은 편이에요,체류 적합성,positive,positive
C023,보드빌,C023_R0003,C023_R0003_S02,좌식 자리만 있는 게 아니라 테이블 자리도 있어서 오래 이용하기에도 편했고 무제한 이용권이 있어서 오래 있을 경우 가성비도 괜찮은 편이에요,가격대,positive,positive
C023,보드빌,C023_R0004,C023_R0004_S01,"사장님, 알바생분도 너무 친절하시고 저렴한데다가 게임 종류도 많아요",가격대,positive,positive
C023,보드빌,C023_R0005,C023_R0005_S01,저렴하고 음료 무조건 안시켜도된대서 애들만 보내봤어요,가격대,positive,positive
C023,보드빌,C023_R0009,C023_R0009_S01,가성비 즐겁게 놀 수 있고 허브티도 넘 맛있네요,가격대,positive,positive
C023,보드빌,C023_R0011,C023_R0011_S03,날은 덥고 그냥 카페를 가기엔 뭔가 아쉬울 때 전 무조건 보드빌 옵니당 제가 좋아하는 자리는 복층 룸인데 아늑하고 프라이빗하게 즐길 수 있어서 넘 조아요 천장도 높아서 머리 숙이지 않아도 됨,좌석,positive,positive
C026,클라드커피,C026_R0003,C026_R0003_S01,예전부터 궁금했던 카페라 궁금했는데 최근에 가 본 카페중에 퀄리티는 높은데 가격이 너무 착했어요 😇,가격대,positive,neutral
C026,클라드커피,C026_R0009,C026_R0009_S03,가게도 시끄럽지 않아서 대화를 나누거나 가볍게 과제를 하기도 좋습니돠 본론으로 들어가 메뉴추천을 해보자면,조용함,negative,negative
C026,클라드커피,C026_R0009,C026_R0009_S03,가게도 시끄럽지 않아서 대화를 나누거나 가볍게 과제를 하기도 좋습니돠 본론으로 들어가 메뉴추천을 해보자면,공부 적합성,neutral,neutral
C026,클라드커피,C026_R0010,C026_R0010_S01,조용히 감정 정리가 필요할때마다 찾는곳~~,조용함,positive,positive
C027,드롭탑 용인역북점,C027_R0001,C027_R0001_S03,자리 위치만 좋았지 시설 관리가 안되나 봅니다,좌석,positive,positive
C028,메가번 용인역북점,C028_R0001,C028_R0001_S02,가격이 조금 비싼감이 있지만 맛이 좋아요,가격대,positive,positive
C029,커피인류 용인역북점,C029_R0004,C029_R0004_S03,테이블 배치가 특이하고 천장이 높아서 답답하지 않아 매장 이용하기도 좋았어요,좌석,positive,positive
C030,지니어스,C030_R0002,C030_R0002_S02,"진짜 최고💕💕 혼자 카공 하시는 분들도 많구 친구,연인끼리도 많이 와용ㅎㅎ 고민중이라면 꼭 방문해보세요",공부 적합성,positive,positive
C030,지니어스,C030_R0003,C030_R0003_S02,학교 과제를 하거나 친구들이랑 친목을 나누거나 할 때마다 다른 카페는 안가고 거의 99프로 지니어스에 와요❤️,공부 적합성,neutral,neutral
C030,지니어스,C030_R0003,C030_R0003_S04,"그리고 실내 공간이랑 실외 공간이 나누어져 있는데, 일단 실내 공간은 사진으로 보는 것 처럼 되게 넓고 쾌적할 뿐더러 좌석도 다양하고 많아서 혼자오든 친구들이랑 오든 편안하게 즐길 수 있어요",좌석,positive,positive
C030,지니어스,C030_R0005,C030_R0005_S04,과제나 카공하기에도 좋은 곳이라서 역북에서 카페 어디 갈 지 고민이시라면 꼭 와보세요,공부 적합성,positive,positive
C030,지니어스,C030_R0007,C030_R0007_S01,오늘은 친구랑 과제하러 왔어요,공부 적합성,neutral,neutral
C030,지니어스,C030_R0007,C030_R0007_S02,지니어스 대표 메뉴인 지니어스 라떼 먹었는데 당 올라가면서 카페인도 들어가고 맛도 있으니까 과제하는데 최고의 음료인거 같아요 🥹 또 친구랑 이야기 하기도 너무 좋아요 꼭 오세요 🩷,공부 적합성,neutral,neutral
C031,빽다방 용인역북남부점,C031_R0002,C031_R0002_S01,가성비 있는데 음료도 맛있어요~~,가격대,positive,positive
C032,우지커피 용인역북점,C032_R0002,C032_R0002_S01,키와마루아지 영업 종료후 카페맛집 탄생,영업시간,neutral,neutral
C032,우지커피 용인역북점,C032_R0006,C032_R0006_S02,너무 달지 않아서 부담 없이 마시기 좋았고 더운 날 또 생각날 것 같아요ㅠㅠ 다음엔 다른 메뉴들도 먹어보려구요,가격대,positive,positive
C035,하이오커피 용인역북점,C035_R0001,C035_R0001_S01,"가격대비 커피를 고소한 맛, 산미있는 맛 중 고를 수도 있고",가격대,positive,positive
C036,레드버튼 용인역북점,C036_R0002,C036_R0002_S02,이해 안 되는 부분은 언제든 돌려볼 수 있어서 직원분 안 불러도 되니 부담 없더라고요,가격대,positive,positive
C036,레드버튼 용인역북점,C036_R0004,C036_R0004_S02,"매장 분위기가 깔끔하고 테이블 간 간격도 넓어서 편하게 즐길 수 있었고, 보드게임 종류도 정말 다양해서 고르는 재미가 있었습니다",좌석,positive,positive
C037,메가MGC커피 용인역북점,C037_R0003,C037_R0003_S01,"가성비 좋고, 친절함까지 가득한 메가역북점이예요",가격대,positive,positive
C039,투썸플레이스 용인역북점,C039_R0001,C039_R0001_S05,딸도 텀블러좋아함 귀엽긴한데 가격 개사악,가격대,positive,positive
C040,욤카페 역북점,C040_R0007,C040_R0007_S01,메뉴가 다양하고 가성비도 좋고 무엇보다 맛있어요 한집에서 골고루 먹을 수 있어서 좋은것 같아요,가격대,positive,positive
C041,카페요시,C041_R0005,C041_R0005_S04,가성비도 👍 굿입니다 ^^,가격대,positive,positive
C041,카페요시,C041_R0006,C041_R0006_S03,그자리 그대로 맛 변함없이 지키고 있어 행복~,좌석,positive,negative
C041,카페요시,C041_R0006,C041_R0006_S04,"7,500원 마틸다 가격도 착하고 맛은 뭐 말뭐",가격대,positive,neutral
C041,카페요시,C041_R0006,C041_R0006_S05,앉은 자리서 추가해 3조각 순삭 ㅋㅋ,좌석,neutral,neutral
C041,카페요시,C041_R0008,C041_R0008_S01,커피도 저렴하고,가격대,positive,positive
C042,우노커피랩,C042_R0001,C042_R0001_S04,흔한 카페랑은 다르게 서비스도 맛도 가격도 최고네요 요새 다녔던 카페중에 가장 기분좋은 카페네요,가격대,positive,positive
C042,우노커피랩,C042_R0001,C042_R0001_S07,그리고 카페라떼 근본인 우유를 써주셔서 너무 맛있어요 저도 카페일을 오래했어서 제가 탄게 젤 맛난줄 알았는데 원두랑 우유랑 조합이 엄청 좋네요,체류 적합성,positive,positive
C042,우노커피랩,C042_R0005,C042_R0005_S02,가격을 이렇게 싸게 파셔도 되나 싶을 만큼 너무 값진 맛입니다~,가격대,neutral,neutral
C042,우노커피랩,C042_R0006,C042_R0006_S04,오래오래 찾아오는 단골이 될거 같아요,체류 적합성,neutral,neutral
C042,우노커피랩,C042_R0007,C042_R0007_S03,조용한 매장안에는 화장실도 갖춰져 있고,조용함,positive,positive
C042,우노커피랩,C042_R0008,C042_R0008_S01,컵이 다른집보다 작고 가격도 적당한거같아요,가격대,negative,negative
C042,우노커피랩,C042_R0009,C042_R0009_S01,우연히 들렸는데 조용하고 좋았어요,조용함,positive,positive
C044,그레이핍플 역북점,C044_R0004,C044_R0004_S01,가격도 좋고 분위기도 좋고 무엇보다도 시간을 잘 몰라서 마감 시간을 넘겨서 나가게 됐는데 화 내지 않고 끝까지 기다려주셔서 정말 감사했어여,가격대,positive,positive
C044,그레이핍플 역북점,C044_R0004,C044_R0004_S01,가격도 좋고 분위기도 좋고 무엇보다도 시간을 잘 몰라서 마감 시간을 넘겨서 나가게 됐는데 화 내지 않고 끝까지 기다려주셔서 정말 감사했어여,영업시간,positive,positive
C044,그레이핍플 역북점,C044_R0009,C044_R0009_S01,저렴하니 좋아요~,가격대,positive,positive
C044,그레이핍플 역북점,C044_R0010,C044_R0010_S04,가성비도 좋구~~~  근처니깐 자주,가격대,positive,positive
C047,도노커피 용인시청점,C047_R0006,C047_R0006_S01,커피가 가성비 짱,가격대,positive,positive
C051,애플하우스,C051_R0004,C051_R0004_S03,점심시간이 끝나갈 무렵인데 빈자리 탁자가 없다,좌석,negative,negative
C051,애플하우스,C051_R0004,C051_R0004_S04,"조금 후에 자리잡고앉아 스파게티 세개, 피자 하나, 샐러드 하나를 주문했다",좌석,neutral,neutral
C054,폴바셋 용인시청DT점,C054_R0001,C054_R0001_S02,2층 사람 많음,혼잡도,negative,negative
C054,폴바셋 용인시청DT점,C054_R0009,C054_R0009_S04,맛있고 조용해서 대화하기 좋았어요^^,조용함,positive,positive
C054,폴바셋 용인시청DT점,C054_R0009,C054_R0009_S05,2층은 자리도 넉넉하고 인테리어도 예뻐서 데이트 장소로 추천합니다🫰😊,좌석,positive,positive
C054,폴바셋 용인시청DT점,C054_R0010,C054_R0010_S01,조용하게 이야기나누기 좋아요,조용함,positive,positive
C054,폴바셋 용인시청DT점,C054_R0010,C054_R0010_S02,테이블은 불편합니다,좌석,negative,negative
C060,카페 오굿,C060_R0002,C060_R0002_S04,"과하게 달지 않아서 끝까지 부담 없이 먹기 좋았고,",가격대,positive,positive
C061,메가MGC커피 삼가역점,C061_R0001,C061_R0001_S06,앉을 좌석도 있어서 미팅도 잠시 가능하고요,좌석,positive,positive
C061,메가MGC커피 삼가역점,C061_R0004,C061_R0004_S01,집 근처기도하고 가성비가 좋아서 자주와여~,가격대,positive,positive
C063,커피에반하다 용인삼가역점,C063_R0001,C063_R0001_S08,조용한 분위기에 커피마시기 좋아 자주 방문할꺼같아요,조용함,positive,positive
C063,커피에반하다 용인삼가역점,C063_R0010,C063_R0010_S02,"두쫀쿠는 고급 원재료와 수작업 공정으로 제작되어 가격이 형성되어 있으며, 맛과 식감은 개인 취향에 따라 다르게 느껴질 수 있는 점 양해 부탁드립니다",공부 적합성,positive,positive
C063,커피에반하다 용인삼가역점,C063_R0010,C063_R0010_S02,"두쫀쿠는 고급 원재료와 수작업 공정으로 제작되어 가격이 형성되어 있으며, 맛과 식감은 개인 취향에 따라 다르게 느껴질 수 있는 점 양해 부탁드립니다",가격대,positive,positive
C063,커피에반하다 용인삼가역점,C063_R0011,C063_R0011_S01,커피도 맛있고 가성비도 짱,가격대,positive,positive
C063,커피에반하다 용인삼가역점,C063_R0013,C063_R0013_S01,가성비 죽입니다 ㅎ,가격대,positive,positive
C065,처인재,C065_R0001,C065_R0001_S02,일단 들어가면 매장이 넓구요 커피랑 음료도 빨리나와서 너무너무 좋았어요,좌석,positive,positive
C065,처인재,C065_R0003,C065_R0003_S04,특히 의자가 정말 편안해서 오래 앉아 대화하기 좋음,좌석,positive,positive
C065,처인재,C065_R0003,C065_R0003_S04,특히 의자가 정말 편안해서 오래 앉아 대화하기 좋음,체류 적합성,positive,positive
C065,처인재,C065_R0003,C065_R0003_S05,조용하고 아늑한 분위기~~,조용함,positive,positive
C065,처인재,C065_R0005,C065_R0005_S07,늦은 시간이라 커피를 못마셔서ㅠ,영업시간,neutral,neutral
C069,트리아농,C069_R0010,C069_R0010_S01,친절하고조용하고    커피가  맛있어요,조용함,positive,positive
C071,메가MGC커피 명지대역점,C071_R0006,C071_R0006_S03,바로 앞에 5명 단체손님이 있었지만 그걸 감안하고도 좀 오래걸렸어요,체류 적합성,neutral,positive
C071,메가MGC커피 명지대역점,C071_R0006,C071_R0006_S05,"생각만하고 기다리다 주문한게 나왔길래 그냥 받아서 나올려고 하는데, 직원분께서 음료를 내주시면서 오래 기다리게해서 죄송하다고 말씀하시더라구요",체류 적합성,neutral,neutral
C071,메가MGC커피 명지대역점,C071_R0008,C071_R0008_S01,가성비 최고에요 👍,가격대,positive,positive
C071,메가MGC커피 명지대역점,C071_R0010,C071_R0010_S02,가성비 좋은 음료와 디저트가 다양해요,가격대,positive,positive
C072,카페라딘,C072_R0008,C072_R0008_S07,좌석도 편안해요,좌석,neutral,neutral
C074,카페명암,C074_R0005,C074_R0005_S05,LP 청음은 입구쪽 2자리만 가능한데 하나가 고장이라 못듣고 왔네요ㅠㅠ 담엔 꼭 들을 수 있길,좌석,positive,positive
C074,카페명암,C074_R0005,C074_R0005_S06,"+주차는 골목 어딘가에 눈치게임, 건물이 연식이 있어 1층 들어서면 묘오",체류 적합성,negative,negative
C075,베이크카페,C075_R0002,C075_R0002_S02,오래오래 만들어주세요,체류 적합성,neutral,neutral
C075,베이크카페,C075_R0008,C075_R0008_S08,앉아서 먹을수 있는 테이블이나 의자는 없어요,좌석,positive,positive
C078,카페다 용인시청점,C078_R0001,C078_R0001_S02,가성비좋고 맛도 좋고 👍 좋아요,가격대,positive,positive
C078,카페다 용인시청점,C078_R0003,C078_R0003_S01,커피맛있고 가성비 좋아요,가격대,positive,positive
C078,카페다 용인시청점,C078_R0005,C078_R0005_S01,분위기가 조용하고 커피가 맛 있어요,조용함,positive,positive
C079,안녕마루,C079_R0005,C079_R0005_S01,자주오는 애견카페입니당 강아지냄새도 진짜 하나도 안나고 야외도 크고 실내도 놀만해서 자주가요 항상 청결하게 유지되고있어서 맘편히 놀수있어요 장난감이랑 간식도 많이 파는데 되게 저렴해서 자주 구매합니당,가격대,positive,positive
C079,안녕마루,C079_R0006,C079_R0006_S02,깔끔 넓은 가성비 좋은 애견 전용 카페입니다^^,가격대,positive,positive
C080,디어도터,C080_R0003,C080_R0003_S02,앞에 골프장 있어서 그런지 뭔가 더 한적하고 쾌적한 느낌,조용함,positive,positive
C080,디어도터,C080_R0003,C080_R0003_S07,가격 : 이정도 뷰인데 가격도 넘나 착한넉김,가격대,neutral,neutral
C080,디어도터,C080_R0008,C080_R0008_S05,2차로 커피까지 시켜먹고 샌디치 포장까지 해가요😂 아침에는 바쁘다고 하는데 12시쯤 가니 한적하고 너무 좋았어요,조용함,positive,positive
C080,디어도터,C080_R0010,C080_R0010_S02,"특히 창가 자리는 햇살이 잘 들어와서 혼자 책 읽기에도 좋고, 친구랑 대화 나누기에도 편안했어요",좌석,positive,positive
C083,커스텀커피 중동직영점,C083_R0001,C083_R0001_S02,그리 시끄럽지도 않고  점심먹고 잠깐 휴계시간에 힐링타임이네요  커피맛도 좋고  사장님도 친절하시네요 번창하세요  감사합니다 ~^^,조용함,negative,negative
C083,커스텀커피 중동직영점,C083_R0006,C083_R0006_S02,가게 분위기도 좋고 의자도 편합니다,좌석,positive,positive
C085,컴포즈커피 용인초당점,C085_R0007,C085_R0007_S01,가성비 굳,가격대,positive,positive
C085,컴포즈커피 용인초당점,C085_R0009,C085_R0009_S01,차 한모금도 안마신 상태 저렴한만큼 물 양이 적어서 꽤나 쌔드~~,가격대,positive,positive
C087,메가 MGC커피 용인상하쌍용점,C087_R0003,C087_R0003_S04,매장넓고 충전도 가능하고 좋음,콘센트,positive,positive
C087,메가 MGC커피 용인상하쌍용점,C087_R0009,C087_R0009_S01,역시 가성비는 메가커피죠~ 최근에 생긴 용인상하쌍용점 깨끗하고 테이블 자리가 넓어서 쾌적하네요~ 위생도 괜찮은곳~ 굿굿,좌석,positive,positive
C087,메가 MGC커피 용인상하쌍용점,C087_R0009,C087_R0009_S01,역시 가성비는 메가커피죠~ 최근에 생긴 용인상하쌍용점 깨끗하고 테이블 자리가 넓어서 쾌적하네요~ 위생도 괜찮은곳~ 굿굿,가격대,positive,positive
C088,피크닉제이,C088_R0001,C088_R0001_S05,제 아이에게도 오래 기억에 남을 소중한 생일이 되었을 것 같아요,체류 적합성,neutral,neutral
C088,피크닉제이,C088_R0001,C088_R0001_S07,"정말 정성스럽게 만드신 게 느껴지고, 가격도 합리적인데 맛은 다른 곳과 비교가 안 될 정도예요",가격대,negative,negative
C088,피크닉제이,C088_R0005,C088_R0005_S02,향이 너무 좋아서 앞으로 테이크 아웃도 여기서 하려구요 ㅎㅎ 디저트도 직접 구우시는 거 같은데 너무 맛있어요🤍테이블마다 콘센트도 있어서 카공하기도 딱이네요~단골 예약입니당☺️,콘센트,positive,positive
C088,피크닉제이,C088_R0005,C088_R0005_S02,향이 너무 좋아서 앞으로 테이크 아웃도 여기서 하려구요 ㅎㅎ 디저트도 직접 구우시는 거 같은데 너무 맛있어요🤍테이블마다 콘센트도 있어서 카공하기도 딱이네요~단골 예약입니당☺️,좌석,positive,positive
C088,피크닉제이,C088_R0005,C088_R0005_S02,향이 너무 좋아서 앞으로 테이크 아웃도 여기서 하려구요 ㅎㅎ 디저트도 직접 구우시는 거 같은데 너무 맛있어요🤍테이블마다 콘센트도 있어서 카공하기도 딱이네요~단골 예약입니당☺️,공부 적합성,positive,positive
C089,달달하당,C089_R0004,C089_R0004_S01,따뜻하고 사람 붐비지 않을땐 조용해서 넘좋아요,조용함,negative,positive
C089,달달하당,C089_R0004,C089_R0004_S01,따뜻하고 사람 붐비지 않을땐 조용해서 넘좋아요,혼잡도,negative,negative
C089,달달하당,C089_R0005,C089_R0005_S01,맛있고 따뜻하고 조용할 땐 대화하기 편해서 자주가요~,조용함,positive,positive
C095,레디쉬드롭,C095_R0005,C095_R0005_S02,집중하기좋고 주일저녁 아이와 함께 각자할일하러 왔는데 좋네요~ 집근처에 있어 더 좋네요^^,공부 적합성,positive,positive
C095,레디쉬드롭,C095_R0006,C095_R0006_S01,음악 소리도 차분하고 카페 분위기가 너무 아늑해서 좋아요,조용함,positive,positive
C099,카페봄,C099_R0002,C099_R0002_S02,산밑에 자리하고 있는 곳이라 와봤어요,좌석,positive,positive
C099,카페봄,C099_R0002,C099_R0002_S03,"커피맛 무난하고,늦은오후라 조용하고,",조용함,positive,positive
C099,카페봄,C099_R0005,C099_R0005_S01,조용하고 자리가 편한 카페를 찾다 어렵게 찾아간 카페봄,조용함,positive,positive
C099,카페봄,C099_R0005,C099_R0005_S01,조용하고 자리가 편한 카페를 찾다 어렵게 찾아간 카페봄,좌석,positive,positive
C099,카페봄,C099_R0005,C099_R0005_S03,불멍하기 좋고 분위기며 의자도 너무 편해서 무조건 또 갈렵니다,좌석,positive,positive
C099,카페봄,C099_R0007,C099_R0007_S01,한적한 장소에 조용한 카페라 마음에 드네요,조용함,positive,positive
C099,카페봄,C099_R0010,C099_R0010_S03,커피도 원두가 좋은지 맛도 좋고 가격이 진짜 저렴해서 계산하면서 놀랐어요,가격대,positive,positive
