cafe_id,sentence,features
C001,10시40분에 먹고있는 사람에게 와서 마감이 몇시라고 안내하는게 아니라 곧 마감이라 다 먹었으면 치워도 되겠냐고 하는게 맞나싶네요,영업시간
C001,빈잔이면 모르겠는데 아직 남아있는 음료를 보고도 마감안내가 아니라 치워도 되냐고 하는카페는 처음봤네요,영업시간
C001,주차한적은 없지만 주차도 편하겠네요~~,조용함
C004,위에 인절미 떡도 적지 않게 올라가 있어서 인절미와 쑥의 조화를 오래 느낄 수 있고 아이스크림 자체도 맛있어요 처음에 손에 잡았을 때는 컵이 작지도 크지도 않았는데 먹다보니까 양이 꽤 많았어요 이거 진심 매일 먹고 싶다,체류적합성
C007,조용하고 편해서 자주가요,조용함
C007,오랜만에 방문했는데 여전히 브라운 리퀴드만의 분위기가 느껴져서 좋았어요☺️ 차분하고 따뜻한 곳이라 있다보면 힐링돼요,조용함
C007,ㅎㅎ 조용해서 스몰톡하기 좋고 책 읽기도 좋늘 것 같아요,"조용함,공부적합성"
C007,사장님 오래오래 운영해주세요♡,체류적합성
C011,역시 가성비 좋은 더벤티 ~ 가성비 좋은 카페찾는다면 이곳만한곳이없죠 테이블도 적당히 있고 청결상태가 너무좋은것같네요~ 굿굿,좌석
C011,"커피 양도 많고, 진하고 향이 훌륭합니다^^👍 아침이라 그런지 조용하고 쾌적해서 기분이 좋았어요",조용함
C014,실내에 손님 분들이 많지 않아서 시간 보내기에 좋았지만 그래도 통창 자리는 앉기 어려웠어요,좌석
C014,공부하거나 집중하는 일보다 이야기 나누는 시간으로 방문을 추천합니다,"조용함,공부적합성"
C015,와플때문인지 너무 오래 걸렸어요,체류적합성
C017,이 점에서 비롯한 직원과 마감시간 바뀐지 모르고 온 손님의 입장차이도 있는거같아요,영업시간
C017,마감시간을 네이버에 바꾸시거나 입구에 공지해주시면  양쪽 모두에게 좋을꺼같아요,영업시간
C018,오래오래 번창하셨으면 합니다 ㅠ❤️❤️,체류적합성
C019,사장님 꼭 오래오래 가게 운영해주세요 💚❤️💚❤️,체류적합성
C019,"출산 후 몸조리를 제대로 못 하시면 오래 불편한 경우가 많은데, 오셔서 조금이라도 몸이 풀리고 편해지신다니 저희도 너무 뿌듯합니다",체류적합성
C019,앞으로도 편하게 쉬고 힐링하실 수 있는 공간으로 오래오래 함께할게요 ❤️,체류적합성
C019,맥반석 스팀 족욕은 건식 기계에 물을 넣어 따뜻한 스팀으로 즐기는 습식 족욕이라 온기가 오래 유지되는 매력이 있답니다🥰,체류적합성
C023,좌식 자리만 있는 게 아니라 테이블 자리도 있어서 오래 이용하기에도 편했고 무제한 이용권이 있어서 오래 있을 경우 가성비도 괜찮은 편이에요,"좌석,체류적합성"
C023,날은 덥고 그냥 카페를 가기엔 뭔가 아쉬울 때 전 무조건 보드빌 옵니당 제가 좋아하는 자리는 복층 룸인데 아늑하고 프라이빗하게 즐길 수 있어서 넘 조아요 천장도 높아서 머리 숙이지 않아도 됨,좌석
C026,가게도 시끄럽지 않아서 대화를 나누거나 가볍게 과제를 하기도 좋습니돠 본론으로 들어가 메뉴추천을 해보자면,"조용함,공부적합성"
C026,조용히 감정 정리가 필요할때마다 찾는곳~~,조용함
C027,자리 위치만 좋았지 시설 관리가 안되나 봅니다,좌석
C029,테이블 배치가 특이하고 천장이 높아서 답답하지 않아 매장 이용하기도 좋았어요,좌석
C030,"진짜 최고💕💕 혼자 카공 하시는 분들도 많구 친구,연인끼리도 많이 와용ㅎㅎ 고민중이라면 꼭 방문해보세요",공부적합성
C030,학교 과제를 하거나 친구들이랑 친목을 나누거나 할 때마다 다른 카페는 안가고 거의 99프로 지니어스에 와요❤️,공부적합성
C030,"그리고 실내 공간이랑 실외 공간이 나누어져 있는데, 일단 실내 공간은 사진으로 보는 것 처럼 되게 넓고 쾌적할 뿐더러 좌석도 다양하고 많아서 혼자오든 친구들이랑 오든 편안하게 즐길 수 있어요",좌석
C030,과제나 카공하기에도 좋은 곳이라서 역북에서 카페 어디 갈 지 고민이시라면 꼭 와보세요,공부적합성
C030,"통창으로 들어오는 채광도 너무 좋고, 전체적으로 매장이 쾌적해서 머무는 내내 힐링하는 기분 가득이었습니다",체류적합성
C030,오늘은 친구랑 과제하러 왔어요,공부적합성
C030,지니어스 대표 메뉴인 지니어스 라떼 먹었는데 당 올라가면서 카페인도 들어가고 맛도 있으니까 과제하는데 최고의 음료인거 같아요 🥹 또 친구랑 이야기 하기도 너무 좋아요 꼭 오세요 🩷,공부적합성
C036,"매장 분위기가 깔끔하고 테이블 간 간격도 넓어서 편하게 즐길 수 있었고, 보드게임 종류도 정말 다양해서 고르는 재미가 있었습니다",좌석
C041,그자리 그대로 맛 변함없이 지키고 있어 행복~,좌석
C041,앉은 자리서 추가해 3조각 순삭 ㅋㅋ,좌석
C042,그리고 카페라떼 근본인 우유를 써주셔서 너무 맛있어요 저도 카페일을 오래했어서 제가 탄게 젤 맛난줄 알았는데 원두랑 우유랑 조합이 엄청 좋네요,체류적합성
C042,오래오래 찾아오는 단골이 될거 같아요,체류적합성
C042,조용한 매장안에는 화장실도 갖춰져 있고,조용함
C042,우연히 들렸는데 조용하고 좋았어요,조용함
C044,가격도 좋고 분위기도 좋고 무엇보다도 시간을 잘 몰라서 마감 시간을 넘겨서 나가게 됐는데 화 내지 않고 끝까지 기다려주셔서 정말 감사했어여,영업시간
C045,창가쪽 자리가 많아서 답답하지 않고 운치있고 좋아요,좌석
C046,정원도 있고해서 볼거리도 있고 조용히 시간 보내며 힐링하기 좋은 카페인것같네요,조용함
C046,수정산 왔다가 하산후 찾아서 왔습니다~  조용한 예쁜카페를 좋아하는데 딱 맞아 떨어지네요,조용함
C046,불멍도 하고 사장님이 주신 군고구마도 먹고 최고입니다~ 이렇게 집중이 잘 되는 조용한 예쁜 카페에서 편히 쉬다 갑니다~ 쌍화차 좋아하는데 진하고 맛있습니다,조용함
C051,점심시간이 끝나갈 무렵인데 빈자리 탁자가 없다,좌석
C051,"조금 후에 자리잡고앉아 스파게티 세개, 피자 하나, 샐러드 하나를 주문했다",좌석
C054,2층 사람 많음,혼잡도
C054,맛있고 조용해서 대화하기 좋았어요^^,조용함
C054,2층은 자리도 넉넉하고 인테리어도 예뻐서 데이트 장소로 추천합니다🫰😊,좌석
C054,조용하게 이야기나누기 좋아요,조용함
C054,테이블은 불편합니다,좌석
C061,앉을 좌석도 있어서 미팅도 잠시 가능하고요,좌석
C063,조용한 분위기에 커피마시기 좋아 자주 방문할꺼같아요,조용함
C063,"두쫀쿠는 고급 원재료와 수작업 공정으로 제작되어 가격이 형성되어 있으며, 맛과 식감은 개인 취향에 따라 다르게 느껴질 수 있는 점 양해 부탁드립니다",공부적합성
C065,특히 의자가 정말 편안해서 오래 앉아 대화하기 좋음,"좌석,체류적합성"
C065,조용하고 아늑한 분위기~~,조용함
C069,친절하고조용하고    커피가  맛있어요,조용함
C071,바로 앞에 5명 단체손님이 있었지만 그걸 감안하고도 좀 오래걸렸어요,체류적합성
C071,"생각만하고 기다리다 주문한게 나왔길래 그냥 받아서 나올려고 하는데, 직원분께서 음료를 내주시면서 오래 기다리게해서 죄송하다고 말씀하시더라구요",체류적합성
C072,좌석도 편안해요,좌석
C074,LP 청음은 입구쪽 2자리만 가능한데 하나가 고장이라 못듣고 왔네요ㅠㅠ 담엔 꼭 들을 수 있길,좌석
C075,오래오래 만들어주세요,체류적합성
C075,앉아서 먹을수 있는 테이블이나 의자는 없어요,좌석
C078,분위기가 조용하고 커피가 맛 있어요,조용함
C080,앞에 골프장 있어서 그런지 뭔가 더 한적하고 쾌적한 느낌,조용함
C080,2차로 커피까지 시켜먹고 샌디치 포장까지 해가요😂 아침에는 바쁘다고 하는데 12시쯤 가니 한적하고 너무 좋았어요,조용함
C080,"특히 창가 자리는 햇살이 잘 들어와서 혼자 책 읽기에도 좋고, 친구랑 대화 나누기에도 편안했어요","좌석,공부적합성"
C083,그리 시끄럽지도 않고  점심먹고 잠깐 휴계시간에 힐링타임이네요  커피맛도 좋고  사장님도 친절하시네요 번창하세요  감사합니다 ~^^,조용함
C083,가게 분위기도 좋고 의자도 편합니다,좌석
C084,예약할 때 아이들 개월수 확인하셨는데 방문해보니 동생용 낮잠이불과 범보의자까지 세팅해 두셔서 감동이었어요,좌석
C084,"타이니풀은 돌 이전의 어린 동생들이 와도 편하게 있다 갈 수 있도록 낮잠이불과 범보의자, 턱받이, 식탁의자 등 맞춤으로 제공해드린답니다",좌석
C084,모래놀이용 장난감도 많고 혼자서 집중해서 잘 놀더라구요~ 제일 좋은 점은 모래놀이만 계속 하면 지겨워할텐데 버블놀이랑 물감놀이도 할 수 있어서 4시간 동안 시간 가는줄 모르고 놀았어요,조용함
C087,매장넓고 충전도 가능하고 좋음,콘센트
C087,역시 가성비는 메가커피죠~ 최근에 생긴 용인상하쌍용점 깨끗하고 테이블 자리가 넓어서 쾌적하네요~ 위생도 괜찮은곳~ 굿굿,좌석
C088,제 아이에게도 오래 기억에 남을 소중한 생일이 되었을 것 같아요,체류적합성
C088,향이 너무 좋아서 앞으로 테이크 아웃도 여기서 하려구요 ㅎㅎ 디저트도 직접 구우시는 거 같은데 너무 맛있어요🤍테이블마다 콘센트도 있어서 카공하기도 딱이네요~단골 예약입니당☺️,"콘센트,좌석,공부적합성"
C089,따뜻하고 사람 붐비지 않을땐 조용해서 넘좋아요,"조용함,혼잡도"
C089,맛있고 따뜻하고 조용할 땐 대화하기 편해서 자주가요~,조용함
C093,"집 근처, 24시간 영업하는 카페 방문",영업시간
C093,매장이 진짜 넓고 영업도 24시간이라서 공부하거나 작업하기 좋은 거 같아요,"공부적합성,영업시간"
C093,"🐥1층은 자유로운 분위기, 2층은 공부 분위기로 구역이 나눠져서 좋아요",공부적합성
C093,🅿️ 매장 앞 주차장 / 자리많아요,좌석
C093,와우~ 규모도 크도 실내 분위기도 차분하고 완전 좋았어요,조용함
C093,🐁1층 대화분위기 2층 공부분위기라 아무때나 와도 좋은곳,공부적합성
C093,🐁주차자리 매우 많음,좌석
C093,🐁무려 24시간이라 밤샘 작업하기 딱 좋을듯,"공부적합성,영업시간"
C093,커피 한 잔 하면서 대화 나누기도 좋고 작업하기에도 좋은 카페 더 노벰버 라운지 다녀왔어요:) 공간도 넓고 좌석이 편해서 머무는동안 만족스러웠어요,"좌석,체류적합성,공부적합성"
C093,커피향도 맛도 굿굿~ 자리도 하나하나 마음에 들고 넓어요ㅎ 간만에 힐링하고 갑니다🫡,좌석
C095,집중하기좋고 주일저녁 아이와 함께 각자할일하러 왔는데 좋네요~ 집근처에 있어 더 좋네요^^,조용함
C095,음악 소리도 차분하고 카페 분위기가 너무 아늑해서 좋아요,조용함
C099,산밑에 자리하고 있는 곳이라 와봤어요,좌석
C099,"커피맛 무난하고,늦은오후라 조용하고,",조용함
C099,혼자 책 읽거나 생각 정리할 때 가기 좋은 곳,공부적합성
C099,조용하고 자리가 편한 카페를 찾다 어렵게 찾아간 카페봄,"조용함,좌석"
C099,불멍하기 좋고 분위기며 의자도 너무 편해서 무조건 또 갈렵니다,좌석
C099,한적한 장소에 조용한 카페라 마음에 드네요,조용함
